Kabupaten/Kota,Luas Wilayah (km²),Populasi (estimasi),Kepadatan Penduduk (per km²)
Bandar Lampung,169.21,1114310,6585
Metro,68.74,158970,2312
Lampung Barat,4950.00,310563,63
Lampung Selatan,700.91,1084370,1547
Lampung Tengah,4788.32,1465055,306
Lampung Timur,5350.00,1074566,201
Lampung Utara,2725.63,631162,231
Mesuji,2200.35,211124,96
Pesawaran,1173.77,431490,368
Pringsewu,625.00,394383,631
Tanggamus,3351.95,640275,191
Tulang Bawang,3466.32,430000,124
Tulang Bawang Barat,1220.00,286162,234
Way Kanan,3921.00,484754,124
Pesisir Barat,2406.60,153082,64
